#    Feige 34
#    Table file for FEIGE 34 flux standard
#    based on data from Oke ( AJ, 99, 1621, 1990 ).
#    Data extracted from STSDAS table held in CALOBS
#    directory at STScI. Note that these are fitted
#    continuum fluxes, not directly measured fluxes,
#    and so should be treated in the same way as
#    Fillipenko and Greenstein standards
#    More information: http//catserver.ing.iac.es/landscape/tn065-100/workflux.php
#
  3417       10.239	1.0
  3418       10.244	1.0
  3419       10.246	1.0
  3420       10.246	1.0
  3421       10.248	1.0
  3422       10.248	1.0
  3423       10.246	1.0
  3424       10.250	1.0
  3425       10.253	1.0
  3426       10.255	1.0
  3427       10.260	1.0
  3428       10.262	1.0
  3429       10.265	1.0
  3430       10.265	1.0
  3431       10.262	1.0
  3432       10.262	1.0
  3433       10.260	1.0
  3434       10.260	1.0
  3435       10.257	1.0
  3436       10.255	1.0
  3437       10.251	1.0
  3438       10.248	1.0
  3439       10.246	1.0
  3440       10.246	1.0
  3441       10.246	1.0
  3442       10.246	1.0
  3443       10.248	1.0
  3444       10.250	1.0
  3445       10.251	1.0
  3446       10.255	1.0
  3447       10.258	1.0
  3448       10.260	1.0
  3449       10.262	1.0
  3450       10.262	1.0
  3451       10.262	1.0
  3452       10.262	1.0
  3453       10.263	1.0
  3454       10.265	1.0
  3455       10.265	1.0
  3456       10.265	1.0
  3457       10.265	1.0
  3458       10.262	1.0
  3459       10.262	1.0
  3460       10.260	1.0
  3461       10.262	1.0
  3462       10.262	1.0
  3463       10.263	1.0
  3464       10.265	1.0
  3465       10.265	1.0
  3466       10.265	1.0
  3467       10.267	1.0
  3468       10.269	1.0
  3469       10.269	1.0
  3470       10.270	1.0
  3471       10.270	1.0
  3472       10.269	1.0
  3473       10.270	1.0
  3474       10.272	1.0
  3475       10.274	1.0
  3476       10.277	1.0
  3477       10.281	1.0
  3478       10.284	1.0
  3479       10.288	1.0
  3480       10.291	1.0
  3481       10.295	1.0
  3482       10.296	1.0
  3483       10.300	1.0
  3484       10.298	1.0
  3485       10.295	1.0
  3486       10.293	1.0
  3487       10.290	1.0
  3488       10.288	1.0
  3489       10.286	1.0
  3490       10.284	1.0
  3491       10.284	1.0
  3492       10.284	1.0
  3493       10.284	1.0
  3494       10.286	1.0
  3495       10.286	1.0
  3496       10.288	1.0
  3497       10.290	1.0
  3498       10.291	1.0
  3499       10.293	1.0
  3500       10.295	1.0
  3501       10.296	1.0
  3502       10.298	1.0
  3503       10.300	1.0
  3504       10.302	1.0
  3505       10.302	1.0
  3506       10.302	1.0
  3507       10.302	1.0
  3508       10.302	1.0
  3509       10.302	1.0
  3510       10.300	1.0
  3511       10.300	1.0
  3512       10.298	1.0
  3513       10.298	1.0
  3514       10.298	1.0
  3515       10.298	1.0
  3516       10.298	1.0
  3517       10.298	1.0
  3518       10.298	1.0
  3519       10.298	1.0
  3520       10.298	1.0
  3521       10.296	1.0
  3522       10.295	1.0
  3523       10.295	1.0
  3524       10.293	1.0
  3525       10.293	1.0
  3526       10.293	1.0
  3527       10.296	1.0
  3528       10.300	1.0
  3529       10.303	1.0
  3530       10.307	1.0
  3531       10.310	1.0
  3532       10.314	1.0
  3533       10.317	1.0
  3534       10.319	1.0
  3535       10.321	1.0
  3536       10.322	1.0
  3537       10.324	1.0
  3538       10.328	1.0
  3539       10.331	1.0
  3540       10.335	1.0
  3541       10.338	1.0
  3542       10.340	1.0
  3543       10.342	1.0
  3544       10.342	1.0
  3545       10.343	1.0
  3546       10.342	1.0
  3547       10.342	1.0
  3548       10.342	1.0
  3549       10.340	1.0
  3550       10.340	1.0
  3551       10.340	1.0
