# G191-B2B
# Oke, 1990, AJ, 99, 1621.
# More information: http//catserver.ing.iac.es/landscape/tn065-100/workflux.php
#
  3200       10.729 1
  3201       10.732 1
  3202       10.736 1
  3203       10.739 1
  3204       10.741 1
  3205       10.743 1
  3206       10.741 1
  3207       10.739 1
  3208       10.737 1
  3209       10.736 1
  3210       10.734 1
  3211       10.732 1
  3212       10.732 1
  3213       10.732 1
  3214       10.732 1
  3215       10.732 1
  3216       10.732 1
  3217       10.734 1
  3218       10.736 1
  3219       10.736 1
  3220       10.737 1
  3221       10.736 1
  3222       10.734 1
  3223       10.732 1
  3224       10.730 1
  3225       10.729 1
  3226       10.725 1
  3227       10.722 1
  3228       10.720 1
  3229       10.717 1
  3230       10.715 1
  3231       10.713 1
  3232       10.713 1
  3233       10.713 1
  3234       10.713 1
  3235       10.713 1
  3236       10.713 1
  3237       10.713 1
  3238       10.718 1
  3239       10.724 1
  3240       10.730 1
  3241       10.737 1
  3242       10.744 1
  3243       10.748 1
  3244       10.751 1
  3245       10.755 1
  3246       10.758 1
  3247       10.760 1
  3248       10.760 1
  3249       10.765 1
  3250       10.769 1
  3251       10.774 1
  3252       10.781 1
  3253       10.784 1
  3254       10.788 1
  3255       10.791 1
  3256       10.793 1
  3257       10.795 1
  3258       10.796 1
  3259       10.800 1
  3260       10.803 1
  3261       10.807 1
  3262       10.812 1
  3263       10.816 1
  3264       10.819 1
  3265       10.822 1
  3266       10.826 1
  3267       10.828 1
  3268       10.831 1
  3269       10.833 1
  3270       10.833 1
  3271       10.833 1
  3272       10.833 1
  3273       10.833 1
  3274       10.833 1
  3275       10.835 1
  3276       10.835 1
  3277       10.836 1
  3278       10.838 1
  3279       10.840 1
  3280       10.843 1
  3281       10.845 1
  3282       10.847 1
  3283       10.847 1
  3284       10.849 1
  3285       10.850 1
  3286       10.850 1
  3287       10.850 1
  3288       10.852 1
  3289       10.852 1
  3290       10.852 1
  3291       10.852 1
  3292       10.854 1
  3293       10.854 1
  3294       10.855 1
  3295       10.857 1
