# BD+33 2642
# Oke, AJ, 99, 1621.
# More information: http//catserver.ing.iac.es/landscape/tn065-100/workflux.php
#
  3200       10.491 1
  3201       10.494 1
  3202       10.494 1
  3203       10.496 1
  3204       10.496 1
  3205       10.494 1
  3206       10.494 1
  3207       10.493 1
  3208       10.489 1
  3209       10.486 1
  3210       10.480 1
  3211       10.475 1
  3212       10.470 1
  3213       10.465 1
  3214       10.463 1
  3215       10.463 1
  3216       10.463 1
  3217       10.465 1
  3218       10.467 1
  3219       10.468 1
  3220       10.467 1
  3221       10.465 1
  3222       10.465 1
  3223       10.465 1
  3224       10.463 1
  3225       10.467 1
  3226       10.470 1
  3227       10.468 1
  3228       10.467 1
  3229       10.465 1
  3230       10.463 1
  3231       10.461 1
  3232       10.460 1
  3233       10.458 1
  3234       10.456 1
  3235       10.454 1
  3236       10.453 1
  3237       10.451 1
  3238       10.451 1
  3239       10.449 1
  3240       10.451 1
  3241       10.451 1
  3242       10.456 1
  3243       10.460 1
  3244       10.465 1
  3245       10.470 1
  3246       10.475 1
  3247       10.479 1
  3248       10.484 1
  3249       10.491 1
  3250       10.496 1
  3251       10.500 1
  3252       10.503 1
  3253       10.505 1
  3254       10.508 1
  3255       10.512 1
  3256       10.517 1
  3257       10.519 1
  3258       10.522 1
  3259       10.524 1
  3260       10.524 1
  3261       10.524 1
  3262       10.522 1
  3263       10.520 1
  3264       10.519 1
  3265       10.519 1
  3266       10.519 1
  3267       10.519 1
  3268       10.519 1
  3269       10.519 1
  3270       10.519 1
  3271       10.519 1
  3272       10.522 1
  3273       10.526 1
  3274       10.529 1
  3275       10.534 1
  3276       10.538 1
  3277       10.541 1
  3278       10.545 1
  3279       10.548 1
  3280       10.550 1
  3281       10.553 1
  3282       10.557 1
  3283       10.560 1
  3284       10.562 1
  3285       10.562 1
  3286       10.564 1
  3287       10.564 1
  3288       10.564 1
  3289       10.564 1
  3290       10.564 1
  3291       10.562 1
  3292       10.560 1
  3293       10.559 1
  3294       10.557 1
  3295       10.555 1
  3296       10.555 1
  3297       10.552 1
  3298       10.552 1
  3299       10.552 1
  3300       10.550 1
  3301       10.548 1
  3302       10.548 1
  3303       10.546 1
  3304       10.545 1
  3305       10.545 1
  3306       10.543 1
  3307       10.543 1
  3308       10.543 1
  3309       10.543 1
  3310       10.541 1
  3311       10.541 1
  3312       10.538 1
  3313       10.538 1
  3314       10.536 1
  3315       10.534 1
  3316       10.529 1
  3317       10.527 1
  3318       10.526 1
  3319       10.522 1
  3320       10.519 1
  3321       10.517 1
  3322       10.515 1
  3323       10.513 1
  3324       10.512 1
  3325       10.512 1
  3326       10.510 1
  3327       10.510 1
  3328       10.512 1
  3329       10.515 1
  3330       10.519 1
  3331       10.522 1
  3332       10.527 1
  3333       10.531 1
  3334       10.534 1
  3335       10.536 1
  3336       10.538 1
  3337       10.541 1
  3338       10.543 1
  3339       10.545 1
  3340       10.548 1
  3341       10.548 1
  3342       10.550 1
  3343       10.550 1
  3344       10.552 1
  3345       10.553 1
  3346       10.557 1
  3347       10.557 1
  3348       10.559 1
  3349       10.559 1
  3350       10.559 1
  3351       10.559 1
  3352       10.560 1
  3353       10.560 1
  3354       10.560 1
  3355       10.560 1
  3356       10.560 1
  3357       10.562 1
  3358       10.564 1
  3359       10.564 1
  3360       10.564 1
  3361       10.562 1
  3362       10.562 1
  3363       10.560 1
