# Feige 67
# Oke, 1990, AJ, 99, 1621.
# More information: http//catserver.ing.iac.es/landscape/tn065-100/workflux.php
#
  3200       10.706 1
  3201       10.715 1
  3202       10.724 1
  3203       10.724 1
  3204       10.722 1
  3205       10.718 1
  3206       10.715 1
  3207       10.715 1
  3208       10.713 1
  3209       10.708 1
  3210       10.701 1
  3211       10.694 1
  3212       10.687 1
  3213       10.680 1
  3214       10.675 1
  3215       10.671 1
  3216       10.673 1
  3217       10.675 1
  3218       10.677 1
  3219       10.677 1
  3220       10.675 1
  3221       10.675 1
  3222       10.675 1
  3223       10.675 1
  3224       10.675 1
  3225       10.675 1
  3226       10.673 1
  3227       10.670 1
  3228       10.666 1
  3229       10.663 1
  3230       10.661 1
  3231       10.663 1
  3232       10.665 1
  3233       10.666 1
  3234       10.670 1
  3235       10.671 1
  3236       10.673 1
  3237       10.678 1
  3238       10.682 1
  3239       10.687 1
  3240       10.694 1
  3241       10.699 1
  3242       10.703 1
  3243       10.710 1
  3244       10.718 1
  3245       10.725 1
  3246       10.732 1
  3247       10.737 1
  3248       10.744 1
  3249       10.748 1
  3250       10.753 1
  3251       10.755 1
  3252       10.758 1
  3253       10.762 1
  3254       10.767 1
  3255       10.774 1
  3256       10.777 1
  3257       10.781 1
  3258       10.784 1
  3259       10.788 1
  3260       10.786 1
  3261       10.784 1
  3262       10.783 1
  3263       10.784 1
  3264       10.784 1
  3265       10.783 1
  3266       10.784 1
  3267       10.786 1
  3268       10.786 1
  3269       10.784 1
  3270       10.784 1
  3271       10.784 1
  3272       10.784 1
  3273       10.784 1
  3274       10.784 1
  3275       10.783 1
  3276       10.781 1
  3277       10.783 1
  3278       10.786 1
  3279       10.788 1
  3280       10.791 1
  3281       10.790 1
  3282       10.786 1
  3283       10.786 1
  3284       10.786 1
  3285       10.786 1
  3286       10.788 1
  3287       10.788 1
  3288       10.791 1
  3289       10.793 1
  3290       10.795 1
  3291       10.798 1
  3292       10.800 1
  3293       10.802 1
  3294       10.805 1
  3295       10.807 1
  3296       10.810 1
  3297       10.814 1
  3298       10.817 1
  3299       10.817 1
  3300       10.819 1
  3301       10.819 1
  3302       10.821 1
  3303       10.824 1
  3304       10.828 1
  3305       10.828 1
  3306       10.831 1
  3307       10.831 1
  3308       10.831 1
  3309       10.831 1
  3310       10.833 1
  3311       10.835 1
  3312       10.838 1
  3313       10.838 1
  3314       10.835 1
  3315       10.833 1
  3316       10.833 1
  3317       10.831 1
  3318       10.831 1
  3319       10.831 1
  3320       10.835 1
  3321       10.838 1
  3322       10.843 1
  3323       10.847 1
  3324       10.850 1
  3325       10.852 1
  3326       10.854 1
  3327       10.855 1
  3328       10.855 1
  3329       10.854 1
  3330       10.852 1
  3331       10.852 1
  3332       10.850 1
  3333       10.850 1
  3334       10.850 1
  3335       10.847 1
  3336       10.847 1
  3337       10.845 1
  3338       10.845 1
  3339       10.847 1
  3340       10.850 1
  3341       10.845 1
  3342       10.840 1
  3343       10.835 1
  3344       10.833 1
  3345       10.833 1
  3346       10.833 1
  3347       10.835 1
  3348       10.836 1
  3349       10.836 1
  3350       10.836 1
  3351       10.838 1
  3352       10.840 1
  3353       10.843 1
  3354       10.843 1
  3355       10.843 1
  3356       10.842 1
  3357       10.840 1
  3358       10.838 1
  3359       10.835 1
  3360       10.836 1
  3361       10.836 1
  3362       10.835 1
  3363       10.833 1
  3364       10.833 1
  3365       10.833 1
  3366       10.835 1
  3367       10.835 1
  3368       10.835 1
  3369       10.835 1
  3370       10.836 1
  3371       10.838 1
  3372       10.840 1
  3373       10.840 1
  3374       10.842 1
  3375       10.840 1
  3376       10.836 1
  3377       10.836 1
  3378       10.838 1
  3379       10.838 1
  3380       10.838 1
  3381       10.838 1
  3382       10.840 1
  3383       10.843 1
  3384       10.847 1
  3385       10.852 1
  3386       10.852 1
  3387       10.854 1
  3388       10.857 1
  3389       10.859 1
  3390       10.861 1
  3391       10.862 1
  3392       10.866 1
  3393       10.869 1
  3394       10.871 1
  3395       10.871 1
  3396       10.873 1
  3397       10.876 1
  3398       10.878 1
  3399       10.880 1
  3400       10.883 1
  3401       10.883 1
  3402       10.885 1
  3403       10.885 1
  3404       10.883 1
  3405       10.885 1
  3406       10.885 1
  3407       10.885 1
  3408       10.885 1
  3409       10.885 1
  3410       10.883 1
  3411       10.883 1
  3412       10.883 1
  3413       10.885 1
  3414       10.890 1
  3415       10.894 1
  3416       10.897 1
  3417       10.902 1
  3418       10.904 1
  3419       10.909 1
  3420       10.909 1
  3421       10.911 1
  3422       10.911 1
  3423       10.911 1
  3424       10.913 1
  3425       10.916 1
  3426       10.918 1
  3427       10.921 1
  3428       10.923 1
  3429       10.921 1
  3430       10.920 1
  3431       10.920 1
  3432       10.920 1
  3433       10.921 1
  3434       10.921 1
  3435       10.920 1
  3436       10.918 1
  3437       10.918 1
  3438       10.918 1
  3439       10.918 1
  3440       10.916 1
  3441       10.915 1
  3442       10.913 1
  3443       10.911 1
  3444       10.909 1
  3445       10.908 1
  3446       10.909 1
  3447       10.909 1
  3448       10.911 1
  3449       10.911 1
  3450       10.911 1
  3451       10.913 1
  3452       10.911 1
  3453       10.911 1
  3454       10.909 1
  3455       10.908 1
  3456       10.906 1
  3457       10.902 1
  3458       10.902 1
  3459       10.902 1
  3460       10.904 1
  3461       10.906 1
  3462       10.909 1
  3463       10.911 1
  3464       10.913 1
  3465       10.916 1
  3466       10.920 1
  3467       10.923 1
  3468       10.927 1
  3469       10.928 1
  3470       10.930 1
  3471       10.930 1
  3472       10.930 1
  3473       10.932 1
  3474       10.932 1
  3475       10.935 1
  3476       10.937 1
  3477       10.939 1
  3478       10.939 1
  3479       10.939 1
  3480       10.942 1
  3481       10.942 1
  3482       10.944 1
  3483       10.946 1
  3484       10.946 1
  3485       10.946 1
  3486       10.946 1
  3487       10.944 1
  3488       10.946 1
  3489       10.947 1
  3490       10.947 1
  3491       10.947 1
  3492       10.947 1
  3493       10.949 1
  3494       10.951 1
  3495       10.954 1
  3496       10.958 1
  3497       10.960 1
  3498       10.961 1
  3499       10.961 1
  3500       10.960 1
  3501       10.961 1
  3502       10.961 1
  3503       10.963 1
  3504       10.963 1
  3505       10.961 1
  3506       10.960 1
  3507       10.958 1
  3508       10.956 1
  3509       10.956 1
  3510       10.953 1
  3511       10.951 1
  3512       10.953 1
  3513       10.953 1
  3514       10.953 1
  3515       10.953 1
  3516       10.953 1
  3517       10.953 1
  3518       10.953 1
  3519       10.953 1
  3520       10.953 1
  3521       10.954 1
  3522       10.954 1
  3523       10.956 1
  3524       10.958 1
  3525       10.958 1
  3526       10.960 1
  3527       10.963 1
